Title,Artist.s.,Year,Rank,lyrics_url,lyrics,phrase_repetition,title_repetition_count
Catch a Falling Star ,Perry Como,1958,7,https://www.songlyrics.com/perry-como/catch-a-falling-star--lyrics/,"Catch a falling star an' put it in your pocket,
Never let it fade away!
Catch a falling star an' put it in your pocket,
Save it for a rainy day!
For love may come an' tap you on the shoulder,
Some star-less night!
Just in case you feel you wanna' hold her,
You'll have a pocketful of starlight!
Catch a falling star an' (Catch a falling . . .) put it in your pocket,
Never let it fade away! (Never let it fade away!)
Catch a falling star an' (Catch a falling . . .) put it in your pocket,
Save it for a rainy day! (Save it for a rainy day!)
For love may come and tap you on the shoulder,
Some star-less night!
An' just in case you feel you wanta' hold her,
You'll have a pocketful of starlight!
(. . . pocketful of starlight!)
Catch a falling star an' (Catch a falling . . .) put it in your pocket,
Never let it fade away! (Never let it fade away!)
Catch a falling star an' (Catch a falling . . .) put it in your pocket,
Save it for a rainy day! (Save it for a rainy . . . Save it for a rainy, rainy rainy day!)
For when your troubles startn' multiplyin',
An' they just might!
It's easy to forget them without tryin',
With just a pocketful of starlight!
Catch a falling star an' (Catch a falling . . .) put it in your pocket,
Never let it fade away! (Never let it fade away!)
Catch a falling star an' put it in your pocket,
Save it for a rainy day!
(Save it for rainy day!) Save it for a rainy day!
and Paul Vance",a falling; it for; . .; catch a; falling star; for a; in your; it in; put it; star an',8
Tequila,The Champs,1958,8,https://www.songlyrics.com/the-champs/tequila-lyrics/,"(instrumental)
Tequila
(instrumental)
Tequila
(instrumental)
Tequila!",(instrumental) tequila; tequila (instrumental); (instrumental) tequila!,3
Its All in the Game,Tommy Edwards,1958,9,https://www.songlyrics.com/tommy-edwards/its-all-in-the-game-lyrics/,"Many a tear have to fall
But it's all in the game
All in the wonderful game
That we know as love
You have words with him
And your future's looking dim
But these things
Your hearts can rise above
Once in a while he will call
But it's all in the game
Soon he'll be there at your side
With a sweet bouquet
And he'll kiss your lips
And caress your waiting fingertips
And your hearts will fly
Away
[(Soon he'll be there at your side)]
With a sweet bouquet
Then he'll kiss your lips
And caress your waiting fingertips
And your hearts will fly
Away",all in; and your; in the; your hearts; a sweet; and caress; at your; be there; but it's; caress your,0
Return to Me,Dean Martin,1958,10,https://www.songlyrics.com/dean-martin/return-to-me-lyrics/,"Dean Martin
Miscellaneous
Return To Me
Return To Me
Dean Martin
Return to me
Oh my dear I'm so lonely
Hurry back, hurry back
Oh my love hurry back I'm yours
Return to me
For my heart wants you only
Hurry home, hurry home
Won't you please hurry home to my heart
My darling, if I hurt you I'm sorry
Forgive me and please say you are mine
Return to me
Please come back bella mia
Hurry back, hurry home to my arms
To my lips and my heart
Retorna me
Cara mia ti amo
Solo tu, solo tu, solo tu, solo tu
Mio cuore","return to; to me; hurry home; my heart; solo tu,; to my; tu, solo; back, hurry; dean martin; home to",5
Its Only Make Believe,Conway Twitty,1958,11,https://www.songlyrics.com/conway-twitty/its-only-make-believe-lyrics/,"People see us everywhere
They think you really care
But myself, I can't deceive
I know it's only make believe
...
My one and only prayer,
is that some day you'll care
My hopes, my dreams come true,
my one and only you
No one will ever know,
how much I love you so
My only prayer will be,
some day you'll care for me
But it's only make believe
My hopes, my dreams come true,
my life, I'd give for you
My heart, a wedding ring,
My all, my everything
My heart I can't control,
you rule my very soul
My only prayer will be,
some day you'll care for me
But it's only make believe
My one and only prayer,
is that some day you'll care
My hopes, my dreams come true,
my one and only you
No one will ever know,
how much I love you so
My prayers, my hopes my schemes,
you are my every dream
But it's only make believe",and only; day you'll; it's only; make believe; my one; one and; only make; some day; you'll care; but it's,0
The Purple People Eater,Sheb Wooley,1958,12,https://www.songlyrics.com/sheb-wooley/the-purple-people-eater-lyrics/,"Well I saw the thing comin' out of the sky


It had the one long horn, one big eye


I commenced to shakin' and I said ""ooh-eee""


It looks like a purple eater to me


It was a one-eyed, one-horned, flyin' purple people eater


(One-eyed, one-horned, flyin' purple people eater)


A one-eyed, one-horned, flyin' purple people eater


Sure looks strange to me (One eye?)


Well he came down to earth and he lit in a tree


I said Mr. Purple People Eater, don't eat me


I heard him say in a voice so gruff


I wouldn't eat you cuz you're so tough


It was a one-eyed, one-horned, flyin' purple people eater


One-eyed, one-horned flyin' purple people eater


One-eyed, one-horned, flyin' purple people eater


Sure looks strange to me (One horn?)


I said Mr. Purple People Eater, what's your line


He said it's eatin' purple people and it sure is fine


But that's not the reason that I came to land


I wanna get a job in a rock and roll band


Well bless my soul, rock and roll, flyin' purple people eater


Pigeon-toed, undergrowed, flyin' purple people eater


(We wear short shorts)


Friendly little purple people eater


What a sight to see (owwww)


And then he swung from the tree and he lit on the ground


He started to rock, really rockin' around


It was a crazy ditty with a swingin' tune


Sing a boop boop aboopa lopa lum bam boom


Well bless my soul, rock and roll, flyin' purple people eater


Pigeon-toed, undergrowed, flyin' purple people eater


I like short shorts


Flyin' little people eater


What a sight to see (Purple People?)


And then he went on his way, and then what do ya know


I saw him last night on a TV show


He was blowing it out, a'really knockin' em dead


Playin' rock and roll music through the horn in his head


[Clarinet solo]


Tequila","purple people; people eater; flyin' purple; one-horned, flyin'; one-eyed, one-horned,; rock and; a one-eyed,; and then; i said; in a",0
 Devoted to You,The Everly Brothers,1958,13,https://www.songlyrics.com/the-everly-brothers/-devoted-to-you-lyrics/,"Darling you can count on me
Till the sun dries up the sea
Until then I'll always be
Devoted to you
I'll be yours through endless time
I'll adore your charms sublime
Guess by now you know that I'm
Devoted to you
I'll never hurt you, I'll never lie
I'll never be untrue
I'll never give you reason to cry
I'd be unhappy if you were blue
Through the years my love will grow
Like a river it will flow
It can't die because I'm so
Devoted to you
I'll never hurt you, I'll never lie
I'll never be untrue
I'll never give you reason to cry
I'd be unhappy if you were blue
Through the years my love will grow
Like a river it will flow
It can't die because I'm so
Devoted to you",i'll never; devoted to; to you; you i'll; a river; be unhappy; be untrue; because i'm; blue through; can't die,0
Bird Dog ,The Everly Brothers,1958,13,https://www.songlyrics.com/the-everly-brothers/bird-dog--lyrics/,We do not have the lyrics for Bird Dog yet.,bird dog; do not; dog yet.; for bird; have the; lyrics for; not have; the lyrics; we do,1
Get a Job,The Silhouettes,1958,14,https://www.songlyrics.com/the-silhouettes/get-a-job-lyrics/,We do not have the lyrics for Get a Job yet.,a job; do not; for get; get a; have the; job yet.; lyrics for; not have; the lyrics; we do,1
Little Star,The Elegants,1958,15,https://www.songlyrics.com/the-elegants/little-star-lyrics/,"Where are you little star?
(Where are you?)
Whoah oh, oh, oh-uh-oh
Ratta ta ta too-ooh-ooh
Whoah oh, oh, oh-uh-oh
Ratta ta ta too-ooh-ooh
Twinkle twinkle little star
How I wonder where you are
Wish I may, wish I might
Make this wish come true tonight
Searched all over for a love
You're the one I'm thinkin' of
Whoah oh, oh, oh-uh-oh
Ratta ta ta too-ooh-ooh
Whoah oh, oh, oh-uh-oh
Ratta ta ta too-ooh-ooh
Twinkle twinkle little star
How I wonder where you are
High above the clouds somewhere
Send me down a love to share
Whoah oh, oh, oh-uh-oh
Ratta ta ta too-ooh-ooh
Whoah oh, oh, oh-uh-oh
Ratta ta ta too-ooh-ooh
Whoa-uh-oh-oh-oh-oh-oh
Oh there you a-a-re
High ab-o-ove
Oh-oh sta-a-are
Send me a lo-o-o-o-ove
Oh there you a-a-re
Li-I-ighting you-up the sky
I need a lo-o-o-ove
Oh me-oh, me-oh, my-why-why-why
Twinkle twinkle little star
How I wonder where you are
Wish I may, wish I might
Make this wish come true tonight
Whoah oh, oh, oh-uh-oh
Ratta ta ta too-ooh-ooh
Whoah oh, oh, oh-uh-oh
Ratta ta ta too-ooh-ooh
Oh ra, ta, ta
Ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh
There you are little star! (ooh)","oh-uh-oh ratta; oh, oh-uh-oh; oh, oh,; ooh, ooh,; ratta ta; ta ta; ta too-ooh-ooh; whoah oh,; too-ooh-ooh whoah; wish i",5
Twilight Time,The Platters,1958,16,https://www.songlyrics.com/the-platters/twilight-time-lyrics/,"Heavenly shades of night are falling, it's twilight time
Out of the mist your voice is calling, it's twilight time
When purple colored curtains mark the end of day
I'll hear you, my dear, at twilight time
Deepening shadows gather splendor as day is done
Fingers of night will soon surrender the setting sun
I count the moments darling till you're here with me
Together at last at twilight time
Here, in the afterglow of day
We keep our rendezvous beneath the blue
Here in the sweet and same old way
I fall in love again as I did then
Deep in the dark your kiss will thrill me like days of old
Lighting the spark of love that fills me with dreams untold
Each day I pray for evening just to be with you
Together at last at twilight time
Here, in the afterglow of day
We keep our rendezvous beneath the blue
Here in the sweet and same old way
I fall in love again as I did then
Deep in the dark your kiss will thrill me like days of old
Lighting the spark of love that fills me with dreams untold
Each day I pray for evening just to be with you
Together at last at twilight time
Together at last at twilight time",twilight time; in the; at twilight; at last; last at; together at; of day; afterglow of; again as; and same,7
 Waitin in School,Ricky Nelson,1958,17,https://www.songlyrics.com/ricky-nelson/-waitin-in-school-lyrics/,"I been a-waitin' in school all day long
A-waitin' on the bell to ring so I can go home
Throw my books on the table, pick up the telephone
""Hello, baby, let's get somethin' goin'""
Headin' down to the drugstore to get a soda pop
Throw a nickel in the jukebox, then we start to rock
My school gal baby, gonna tell ya some news
You sure look good in them baby-doll shoes
Well, it's a-one, two, a-pull off my shoes
Three, four, get out on the floor
Five, six, come get your kicks
Down on the corner of Lincoln and a-forty-six
[Spoken:] Yeah!
[Instrumental break]
I've been a-waitin' in school all day long
A-waitin' on the bell to ring so I could go home
Throw my books on the table, pick up the telephone
""Hello, baby, let's get somethin' goin'""
Headin' down to the drugstore to get a soda pop
Throw a nickel in the jukebox, then we start to rock
My school gal baby, gonna tell ya some news
You sure look good in them baby-doll shoes
Well, it's a-one, two, a-pull off my shoes
Three, four, get out on the floor
Five, six, come get your kicks
Down on the corner of Lincoln and a-forty-six
[Spoken:] Yeah!
[Spoken:] Well, let's go now!
Well, it's a-one, two, a-pull off my shoes
Three, four, get out on the floor
Five, six, come get your kicks
Down on the corner of Lincoln and a-forty-six
You gotta move, start rockin' baby
A rockin', rockin' baby
Gonna rock all night, rock all night
Just wait 'n' see
[Spoken:] Yeah!","on the; [spoken:] yeah!; a-one, two,; a-pull off; and a-forty-six; come get; corner of; down on; five, six,; floor five,",0
Stood Up ,Ricky Nelson,1958,17,https://www.songlyrics.com/ricky-nelson/stood-up--lyrics/,"Well, I've been waitin' ever since eight
Guess my baby's got another date
Stood up, broken-hearted, again
I'll bet she's out havin' a ball
Not even thinkin' of me at all
Stood up, broken-hearted, again
Well, I know just what I oughta do
I oughta find somebody new
But, baby, I couldn't forget about you
Stood up, broken-hearted, again
(Instrumental break)
Why must I always be the one
Left behind never havin' any fun?
Stood up, broken-hearted, again
But I guess I'll go on bein' a fool
Sittin' around just waitin' for you
Stood up, broken-hearted, again
Well, I know just what I oughta do
I oughta find somebody new
But, baby, I couldn't forget about you
Stood up, broken-hearted, again
Stood up, broken-hearted, again
Stood up, broken-hearted, again","broken-hearted, again; stood up,; up, broken-hearted,; i oughta; you stood; about you; again stood; again well,; baby, i; but, baby,",0
Hes Got the Whole World in His Hands,Laurie London,1958,18,https://www.songlyrics.com/laurie-london/hes-got-the-whole-world-in-his-hands-lyrics/,"[CHORUS]
He's got the whole world in His hands
He's got the whole wide world in His hands
He's got the whole world in His hands
He's got the whole world in His hands
He's got the little bitty baby in His hands
He's got the little bitty baby in His hands
He's got the little bitty baby in His hands
He's got the whole world in His hands
[Repeat CHORUS]
He's got you and me brother in His hands
He's got you and me sister in His hands
He's got you and me brother in His hands
He's got the whole world in His hands
[Repeat CHORUS]
He's got everybody here in His hands
He's got everybody here in His hands
He's got everybody here in His hands
He's got the whole world in His hands
(He's got the world-(Background Vocals)
He's got the whole world in His hands
He's got the whole wide world in His hands
He's got the whole world in His hands
He's got the whole... world... in His hands",he's got; his hands; in his; hands he's; got the; the whole; world in; whole world; and me; baby in,0
Secretly,Jimmie Rodgers,1958,19,https://www.songlyrics.com/jimmie-rodgers/secretly-lyrics/,"Why must I meet you in a secret rendezvous?
Why must we steal away to steal a kiss or two?
Why must we wait to do the things we want to do?
Why, oh why, oh why, oh why, oh why?
Wish we didn't have to meet secretly
Wish we didn't have to kiss secretly
Wish we didn't have to be afraid
To show the world that we're in love
Till we have the right to meet openly
Till we have the right to kiss openly
We'll just have to be content to be in love secretly
Why, oh why, oh why, oh why, oh why?
Wish we didn't have to meet secretly
Wish we didn't have to kiss secretly
Wish we didn't have to be afraid
To show the world that we're in love
Till we have the right to meet openly
Till we have the right to kiss openly
We'll just have to be content to be in love secretly
[Unverified]","have to; why, oh; didn't have; oh why,; to be; we didn't; wish we; have the; in love; right to",6
